Topic,Count,Name,Representation,Representative_Docs
-1,381,-1_and_the_of_electrolyte,"['and', 'the', 'of', 'electrolyte', 'solid', 'in', 'an', 'to', 'is', 'element']","['INORGANIC COMPOUNDS HAVING A STRUCTURE OF ARGYRODITE TYPE, PROCESSES FOR THE PREPARATION THEREOF, AND USES THEREOF IN ELECTROCHEMICAL APPLICATIONS The invention relates to inorganic compounds having a structure of argyrodite type which are derived from a process comprising a step of grinding alkali metal sulfide, alkali metal sulfate, phosphorus pentasulfide and an alkali metal halide. Also described are electrode materials, electrodes, electrolytes comprising said compounds, and the uses thereof in electrochemical cells, in particular in batteries known as all-solid-state batteries. Prolonged grinding of the precursors, followed by little or no annealing, gives compounds of formula M 6-xPS5-x-yOyZ1i+x or M6-x2yPS5-x-yOyZi+x in which M is chosen from Li, Na and K, Z is a halogen atom chosen from F, Cl, Br and I, where x denotes the number of Z in excess of 1 or is equal to zero, and y is a number other than zero.', 'A SULFIDE-BASED SOLID ELECTROLYTE WITH IMPROVING ELECTRONIC CONDUCTIVITY AND PREPARING METHOD THEREOF The present invention relates to a sulfide-based solid electrolyte which can be used for the positive electrode of an all-solid-state battery with improved electronic conductivity and a method for manufacturing the same. Specifically, the sulfide-based solid electrolyte includes a lithium element (Li), a sulfur element (S), a phosphorus element (P), and a halogen element (X), and the halogen element (X) is a chlorine element (Cl), a bromine element It is selected from the group consisting of (Br), iodine element (I), and combinations thereof, and is characterized in that the molar ratio (Li/P) of lithium element (Li) to phosphorus element (P) is 6 to 9.  ', ""METHOD FOR MANUFACTURING SULFIDE SOLID ELECTROLYTE, SULFIDE SOLID ELECTROLYTE, ALL-SOLID BATTERY, AND METHOD FOR SELECTING RAW MATERIAL COMPOUND USED TO MANUFACTURE SULFIDE SOLID ELECTROLYTE A method for producing a sulfide solid electrolyte according to an embodiment of the present invention is a method for producing a sulfide solid electrolyte, including: preparing a composition containing P, S, N, an element A, and an element M; reacting the composition to obtain an intermediate; and heating the intermediate to obtain a sulfide solid electrolyte, where the composition includes a raw material compound containing N, the element A, and the element M. A represents at least one element selected from the group consisting of Li, Na, and K. M represents at least one element selected from the group consisting of Al, Ta, Si, Sc, Mg, Nb, B, Hf, C, P, Zr, and Ti. A method for selecting a raw material compound for use in producing a sulfide solid electrolyte according to another embodiment of the present invention is a method for selecting a raw material compound for use in producing a sulfide solid electrolyte, including: selecting a candidate material containing N, an element A', and an element M' as a candidate for the raw material compound; and calculating defect generation energy E Ndefect of N inside the candidate material with the use of the first principle calculation, where the candidate material is selected as the raw material compound when the ENdefect is 4.00 eV or more. A sulfide solid electrolyte according to another embodiment of the present invention is a sulfide solid electrolyte that contains P, S, N, an element A, an element X, and an element M as constituent elements and that has a crystalline structure. X represents at least one element selected from the group consisting of Cl, Br, and I; A sulfide solid electrolyte according to another embodiment of the present invention is a sulfide solid electrolyte that contains P, S, N, an element A, and an element M and has crystallinity.""]"
0,180,0_sulfidebased_sulfide_electrolyte_solid,"['sulfidebased', 'sulfide', 'electrolyte', 'solid', 'element', 'an', 'and', 'battery', 'the', 'halogen']","['SULFIDE SOLID ELECTROLYTE AND BATTERY Provided is a novel sulfide solid electrolyte containing Li, P, S, and a halogen, which can be used as a solid electrolyte for a lithium secondary battery or the like, and is able to suppress the generation of a hydrogen sulfide gas even when exposed to moisture in the atmosphere.  The sulfide solid electrolyte comprises a crystal phase or a compound having an argyrodite -type structure and containing Li, P, S, and a halogen; and a compound composed of Li, Cl, and Br and having a peak at each position of 2θ = 29.1° ± 0.5° and 33.7° ± 0.5° in an X-ray diffraction pattern.', 'SULFIDE SOLID ELECTROLYTE AND BATTERY Provided is a novel sulfide solid electrolyte containing Li, P, S, and a halogen, which can be used as a solid electrolyte for a lithium secondary battery or the like, and is able to suppress the generation of a hydrogen sulfide gas even when exposed to moisture in the atmosphere.  The sulfide solid electrolyte comprises a crystal phase or a compound having an argyrodite -type structure and containing Li, P, S, and a halogen; and a compound composed of Li, Cl, and Br and having a peak at each position of 2θ = 29.1° ± 0.5° and 33.7° ± 0.5° in an X-ray diffraction pattern.', 'SULFIDE SOLID ELECTROLYTE AND BATTERY Provided is a novel sulfide solid electrolyte containing Li, P, S, and a halogen, which can be used as a solid electrolyte for a lithium secondary battery or the like, and is able to suppress the generation of a hydrogen sulfide gas even when exposed to moisture in the atmosphere.  The sulfide solid electrolyte comprises a crystal phase or a compound having an argyrodite -type structure and containing Li, P, S, and a halogen; and a compound composed of Li, Cl, and Br and having a peak at each position of 2θ = 29.1° ± 0.5° and 33.7° ± 0.5° in an X-ray diffraction pattern.']"
1,176,1_electrolyte_solid_one_and,"['electrolyte', 'solid', 'one', 'and', 'battery', 'or', 'of', 'is', 'the', 'more']","['Solid electrolyte material and solid state battery made of the same The invention claims a solid electrolyte material, comprising Li, T, X and A, wherein T is at least one of P, As, Si, Ge, Al and B; X is BH4; A is S, Se or N. The solid electrolyte material may comprise a glass ceramic and/or a mixed crystalline phase, and exhibits a higher ionic conductivity and compatibility with the high voltage negative electrode and lithium metal positive electrode', 'Solid electrolyte material and solid state battery made of the same The invention claims a solid electrolyte material, comprising Li, T, X and A, wherein T is at least one of P, As, Si, Ge, Al and B; X is BH4; A is S, Se or N. The solid electrolyte material may comprise a glass ceramic and/or a mixed crystalline phase, and exhibits a higher ionic conductivity and compatibility with the high voltage negative electrode and lithium metal positive electrode', 'Solid electrolyte material and solid state battery made of the same The invention claims a solid electrolyte material, comprising Li, T, X and A, wherein T is at least one of P, As, Si, Ge, Al and B; X is BH4; A is S, Se or N. The solid electrolyte material may comprise a glass ceramic and/or a mixed crystalline phase, and exhibits a higher ionic conductivity and compatibility with the high voltage negative electrode and lithium metal positive electrode']"
2,116,2_active_positive_cathode_electrode,"['active', 'positive', 'cathode', 'electrode', 'material', 'coating', 'the', 'battery', 'anode', 'composite']","['Composite positive electrode material and preparation method and application thereof The invention relates to the technical field of battery, specifically to a composite positive electrode material and preparation method and application thereof. The composite positive electrode material of the invention comprises an inner core, a first coating layer and a second coating layer, the first coating layer is coated on the surface of the inner core, the second coating layer is coated on part of the surface of the first coating layer, the second coating layer has an island structure; The inner core comprises a manganese lithium phosphate material, the first coating layer comprises a carbon material, and the second coating layer comprises a halide electrolyte. The composite positive electrode material of the invention has excellent electronic conductivity and chemical stability under high voltage through matching of each layer structure.', 'A composite positive electrode material and preparation method and application thereof The invention belongs to the technical field of battery and claims a composite positive electrode material and preparation method and application thereof. The composite positive electrode material of the invention comprises an positive electrode active material and a composite coating layer, the composite coating layer comprises a first coating layer and a second coating layer, the first coating layer is coated on at least part of the surface of the positive electrode active material, the second coating layer is coated on at least part of the surface of the first coating layer, The component of the first coating layer comprises inorganic lithium compound, the component of the second coating layer comprises compound ion liquid, the compound ion liquid comprises ion liquid and organic lithium salt. The invention can isolate the direct contact between the solid electrolyte and the positive electrode active material through the first coating layer, which inhibits the occurrence of harmful side reaction under high voltage so as to slow down the capacity attenuation of the solid battery; at the same time, the second coating layer further improves the high voltage stability of the positive electrode interface, optimizes the solid-solid interface contact, reduces the interface impedance, and further optimizes the circulation performance of the solid-state battery under high voltage.', ""positive electrode-mechanical strength coating-containing material, preparation method and application thereof The invention belongs to the technical field of electrode material, relating to a high-mechanical strength positive electrode containing coating-containing material, preparation method and application thereof in solid-state battery. the coating-positive electrode material comprises positive electrode active material and a coating material, the coating material is a solid electrolyte with NASICON structure, the chemical composition is Li1 + (4-n) xM ' 2-xMx (PO4) 3, wherein 0 ≤x≤2, n is the average valence state of M, 1 ≤n≤3, M ' selected from one or more of Ti, Zr, Ge, Sn and Hf; M is selected from one or more of Cr, Al, Mg, Ga, Sc, Y, In and La, the Young modulus of the coating material, hardness and fracture toughness are higher than positive electrode of the active material, the coating material is distributed outside the main positive electrode the active material, and covers the crystal grain of two or positive electrode active material. the coating-containing positive electrode material not only can relieve the volume change and particle positive electrode of the active material, but also can improve the interface stability between the positive electrode and the electrolyte, inhibiting the chemical reaction positive electrode the active material and the electrolyte material, obviously improving the whole electrochemical performance of the solid battery, The invention is suitable for the application of solid-state battery positive electrode""]"
3,61,3_sulphide_lithium_source_the,"['sulphide', 'lithium', 'source', 'the', 'fine', 'reaction', 'preparation', 'obtain', 'sulfide', 'product']","['Preparation method of lithium sulphide, sulphide solid electrolyte and all-solid-state battery The invention relates to a preparation method of lithium sulphide, sulphide solid electrolyte and all-solid-state battery. The preparation method of the lithium sulphide provided by the application comprises the following steps: mixing the lithium source precursor and the solid carbon source, adding solvent and dopamine hydrochloride, ball milling, heating and drying to obtain the solid mixture; under the mixed atmosphere of carbon monoxide and inert gas, heating the solid mixture, and then cooling to obtain the lithium sulphide. The method provided by the application simultaneously uses the solid carbon source and carbon monoxide gas as the reducing agent, in the reducing process, the carbon monoxide gas is covered on the outer surface of the lithium source precursor, which can reduce the by-product Li2O, In the production of Li2CO3 and so on, the content of the by-product Li2O is 0.2 %-0.4 %, and the content of the by-product Li2CO3 is 0.', 'A method for preparation lithium sulphide, lithium sulphide and application thereof The invention claims a method for preparation lithium sulphide, lithium sulphide and application thereof, the method for preparation lithium sulphide comprises: under the protection of inert atmosphere, weighing lithium compound and sulphur compound, mixing by solid-solid mixing or solid-liquid mixing or liquid-liquid mixing, reacting the two substances in alcohol; carrying out solid-liquid separation to the reaction liquid, collecting the liquid phase clear liquid; evaporating to remove the alcohol to obtain the crude product of lithium sulphide; then fully washing the crude product with inert organic solvent then dry the lithium sulphide grade product; then heating and calcining the lithium sulphide-grade product to obtain the lithium sulphide grade product. Compared with the existing technology of lithium sulphide preparation the invention claims a method, using lithium nitrate and sodium sulphide in the complex decomposition reaction of alcohol solution to produce lithium sulphide, the product purity is high, the process preparation normal temperature and normal pressure, low energy consumption, without greenhouse gas discharge, the auxiliary solvent can be recycled, simple technique, green and environment-friendly, without expensive instrument device, easy for industrial production of large scale.', 'A preparation method of lithium sulphide, lithium sulphide and application thereof The invention claims a preparation method of lithium sulphide, lithium sulphide and application thereof, the preparation method of lithium sulphide comprises: under the protection of inert atmosphere, weighing lithium compound and sulphur compound, making the two substances react in alcohol by solid-solid mixing or solid-liquid mixing or liquid-liquid mixing; performing solid-liquid separation to the reaction liquid, collecting the liquid phase clear liquid; evaporating to remove alcohol to obtain crude product of lithium sulphide; then fully washing the crude product with inert organic solvent, and then drying to obtain lithium sulphide first-grade product; then heating and calcining the lithium sulphide first-grade product to obtain the lithium sulphide special-grade product. Compared with the existing lithium sulphide preparation technology, the method provided by the invention uses the double decomposition reaction of lithium nitrate and sodium sulphide in alcohol solution to produce lithium sulphide, the product has high purity, the preparation process is at normal temperature and normal pressure, the energy consumption is low, there is no greenhouse gas discharge, the auxiliary solvent can be recycled, The technique is simple, green and environment-friendly, it does not need expensive instrument and equipment, and it is easy for large-scale industrial production.']"
4,59,4_carbonaceous_carbon_electrode_material,"['carbonaceous', 'carbon', 'electrode', 'material', 'negative', 'hard', 'device', 'nonaqueous', 'for', 'of']","['CARBONACEOUS MATERIAL FOR ELECTROCHEMICAL DEVICE, PRODUCTION METHOD THEREFOR, NEGATIVE ELECTRODE FOR ELECTROCHEMICAL DEVICE, AND ELECTROCHEMICAL DEVICE An object of the present invention is to provide a carbonaceous material suitable as an electrode material of an electrochemical device which is increased in capacity with not only suppression of an increase in irreversible capacity, but also securement of a high electrode density, as well as a method for producing the carbonaceous material The present invention relates to a carbonaceous material for an electrochemical device, having a specific surface area of 23 m 2/g or less as measured according to a BET method and an aerated energy (AE) of 40 mJ or more and 210 mJ or less as measured with a powder rheometer.', 'Manufacturing method of carbonaceous material for negative electrode of nonaqueous electrolyte secondary battery, manufacturing method of nonaqueous electrolyte secondary battery electrode, and manufacturing method of nonaqueous electrolyte secondary battery A manufacturing method for obtaining a carbonaceous material having a large dedoping capacity while reducing the amount of sodium added to the carbon precursor is provided. The method for producing a carbonaceous material for a negative electrode of a non-aqueous electrolyte secondary battery according to the present invention comprises (1) a raw material mixture consisting of phenols and aldehydes containing 50 mass % or more of phenol with less than 5 mass % sodium-based basicity with respect to the raw material mixture addition condensation step of obtaining a resol-type phenol resin by addition condensation in the presence of a catalyst; and (3) a coating step of coating the calcined carbon with pyrolytic carbon to obtain a carbonaceous material.', 'CARBONACEOUS MATERIAL FOR ELECTROCHEMICAL DEVICE, PRODUCTION METHOD THEREFOR, NEGATIVE ELECTRODE FOR ELECTROCHEMICAL DEVICE, AND ELECTROCHEMICAL DEVICE An object of the present invention is to provide a carbonaceous material suitable as an electrode material of an electrochemical device which is increased in capacity with not only suppression of an increase in irreversible capacity, but also securement of a high electrode density, as well as a method for producing the carbonaceous material The present invention relates to a carbonaceous material for an electrochemical device, having a specific surface area of 23 m 2/g or less as measured according to a BET method and an aerated energy (AE) of 40 mJ or more and 210 mJ or less as measured with a powder rheometer.']"
5,49,5_permanently_hydroxyapatite_polarized_uses,"['permanently', 'hydroxyapatite', 'polarized', 'uses', 'composition', 'process', 'thereof', 'manufacture', 'relates', 'different']","['Permanently polarized hydroxyapatite, a process for its manufacture and uses thereof The present invention relates to a permanently polarized hydroxyapatite and a composition or material comprising thereof. The present invention further relates to a process for obtaining a permanently polarized hydroxyapatite and to different uses of the permanently polarized hydroxyapatite or the composition or material comprising thereof.', 'PERMANENTLY POLARIZED HYDROXYAPATITE, A PROCESS FOR ITS MANUFACTURE AND USES THEREOF The present invention relates to a permanently polarized hydroxyapatite and a composition or material comprising thereof. The present invention further relates to a process for obtaining a permanently polarized hydroxyapatite and to different uses of the permanently polarized hydroxyapatite or the composition or material comprising thereof.', 'PERMANENTLY POLARIZED HYDROXYAPATITE, A PROCESS FOR ITS MANUFACTURE AND USES THEREOF The present invention relates to a permanently polarized hydroxyapatite and a composition or material comprising thereof. The present invention further relates to a process for obtaining a permanently polarized hydroxyapatite and to different uses of the permanently polarized hydroxyapatite or the composition or material comprising thereof.']"
6,46,6_conductor_ion_libh4_containing,"['conductor', 'ion', 'libh4', 'containing', 'ionically', 'li2b12h12', 'for', 'producing', 'method', 'diffraction']","['Ion conductor containing Li2B12H12 and LiBH4, method for producing same, and solid electrolyte for all-solid-state batteries, which contains said ion conductor The present invention is able to provide a method for producing an ion conductor containing Li', 'Ion conductor containing Li2B12H12 and LiBH4, method for producing same, and solid electrolyte for all-solid-state batteries, which contains said ion conductor The present invention is able to provide a method for producing an ion conductor containing Li', 'Ion conductor containing Li2B12H12 and LiBH4 and method for manufacturing same, and solid electrolyte for all-solid-state battery containing said ion conductor According to the present invention, Li 2B12H12and LiBH4A method for producing an ion conductor containing LiBH4And B10H14, LiBH4/b10H14A method for producing the ion conductor can be provided, including a step of obtaining a mixture by mixing at a molar ratio of = 2.1 to 4.3, and a step of heat treating the mixture.']"
7,43,7_powder_titanium_ib_mixture,"['powder', 'titanium', 'ib', 'mixture', 'sintering', 'electrolyte', 'ia', 'the', 'for', 'solid']","['METHOD FOR PRODUCING A SOLID ELECTROLYTE MATERIAL AND A SOLID ELECTROLYTE FOR SOLID STATE BATTERIES A method (100) for producing a solid electrolyte for an all-solid state battery, the solid electrolyte having the following chemical formula XM 2(PS4)3, where P is phosphorus, S is sulfur and X is lithium (Li), sodium (Na), silver (Ag) or magnesium (Mg0,s) and M is titanium (Ti), zirconium (Zr), germanium (Ge), silicon (Si), tin (Sn) or a mixture of X and aluminium (X + Al) and the method including: mixing powders so as to obtain a powder mixture; pressing a component with the powder mixture; and sintering the component for a period of time equal to or greater than 100 hours so as to obtain the solid electrolyte (16). The solid electrolyte exhibits the peaks in positions of 2Θ = 13,64° (±1°), 13,76° (±1°), 14,72° (±1°), 15,36° (±1°), 15,90° (±1°), 16,48° (±1°), 17,42° (±1°), 17,56° (±1°), 18,58° (±1°), and 22,18° (±1°) in a X-ray diffraction measurement using CuKα line, where IA is the intensity in arbitrary units of the peak at 13,64°(±1°) and IB is the intensity in arbitrary units of a peak at 23,34° (±1°), (IA - IB)/(IA + IB) > 0. (±1°), (IA - IB)/(IA + IB) > 0. The disclosure is also related to a method of producing a solid electrolyte.', 'METHOD FOR PRODUCING A SOLID ELECTROLYTE MATERIAL AND A SOLID ELECTROLYTE FOR SOLID STATE BATTERIES A method (100) for producing a solid electrolyte for an all-solid state battery, the solid electrolyte having the following chemical formula XM 2(PS4)3, where P is phosphorus, S is sulfur and X is lithium (Li), sodium (Na), silver (Ag) or magnesium (Mg0,s) and M is titanium (Ti), zirconium (Zr), germanium (Ge), silicon (Si), tin (Sn) or a mixture of X and aluminium (X + Al) and the method including: mixing powders so as to obtain a powder mixture; pressing a component with the powder mixture; and sintering the component for a period of time equal to or greater than 100 hours so as to obtain the solid electrolyte (16). The solid electrolyte exhibits the peaks in positions of 2Θ = 13,64° (±1°), 13,76° (±1°), 14,72° (±1°), 15,36° (±1°), 15,90° (±1°), 16,48° (±1°), 17,42° (±1°), 17,56° (±1°), 18,58° (±1°), and 22,18° (±1°) in a X-ray diffraction measurement using CuKα line, where IA is the intensity in arbitrary units of the peak at 13,64°(±1°) and IB is the intensity in arbitrary units of a peak at 23,34° (±1°), (IA - IB)/(IA + IB) > 0. (±1°), (IA - IB)/(IA + IB) > 0. The disclosure is also related to a method of producing a solid electrolyte.', 'METHOD FOR PRODUCING A SOLID ELECTROLYTE MATERIAL AND A SOLID ELECTROLYTE FOR SOLID STATE BATTERIES A method (100) for producing a solid electrolyte for an all-solid state battery, the solid electrolyte having the following chemical formula XM 2(PS4)3, where P is phosphorus, S is sulfur and X is lithium (Li), sodium (Na), silver (Ag) or magnesium (Mg0,s) and M is titanium (Ti), zirconium (Zr), germanium (Ge), silicon (Si), tin (Sn) or a mixture of X and aluminium (X + Al) and the method including: mixing powders so as to obtain a powder mixture; pressing a component with the powder mixture; and sintering the component for a period of time equal to or greater than 100 hours so as to obtain the solid electrolyte (16). The solid electrolyte exhibits the peaks in positions of 2Θ = 13,64° (±1°), 13,76° (±1°), 14,72° (±1°), 15,36° (±1°), 15,90° (±1°), 16,48° (±1°), 17,42° (±1°), 17,56° (±1°), 18,58° (±1°), and 22,18° (±1°) in a X-ray diffraction measurement using CuKα line, where IA is the intensity in arbitrary units of the peak at 13,64°(±1°) and IB is the intensity in arbitrary units of a peak at 23,34° (±1°), (IA - IB)/(IA + IB) > 0. (±1°), (IA - IB)/(IA + IB) > 0. The disclosure is also related to a method of producing a solid electrolyte.']"
8,39,8_homogeneous_lgpsbased_step_solution,"['homogeneous', 'lgpsbased', 'step', 'solution', 'li2s', 'precipitate', 'precipitation', 'li2sp2s5', 'organic', 'characterized']","['METHOD FOR PRODUCING LGPS-BASED SOLID ELECTROLYTE According to the present invention, a method for producing an LGPS-type solid electrolyte can be provided, the method being characterized by comprising: a solutionization step for preparing a homogeneous solution by mixing and reacting Li 2S and P2S5 in an organic solution such that the molar ratio of Li2S/P2S5 is 1.0-1.85; a precipitation step for forming a precipitate by adding, to the homogeneous solution, at least one MS2 (M is selected from the group consisting of Ge, Si, and Sn) and Li2S and then mixing; a drying step for obtaining a precursor by removing the organic solution from the precipitate; and a heating treatment step for obtaining the LGPS-type solid electrolyte by heating the precursor at 200-700°C.', 'METHOD FOR PRODUCING LGPS-BASED SOLID ELECTROLYTE According to the present invention, a method for producing an LGPS-type solid electrolyte can be provided, the method being characterized by comprising: a solutionization step for preparing a homogeneous solution by mixing and reacting Li 2S and P2S5 in an organic solution such that the molar ratio of Li2S/P2S5 is 1.0-1.85; a precipitation step for forming a precipitate by adding, to the homogeneous solution, at least one MS2 (M is selected from the group consisting of Ge, Si, and Sn) and Li2S and then mixing; a drying step for obtaining a precursor by removing the organic solution from the precipitate; and a heating treatment step for obtaining the LGPS-type solid electrolyte by heating the precursor at 200-700°C.', 'METHOD FOR PRODUCING A SOLID TYPE ELECTROLYTE LGPS, HOMOGENEOUS SOLUTION According to the present invention, a method for producing an LGPS-based solid electrolyte can be provided, the method being characterized by comprising: a solutionization step for preparing a homogeneous solution by mixing and reacting Li 2S and P2S5 in an organic solution such that the molar ratio of Li2S/P2S5 is 1.0-1.85; a precipitation step for forming a precipitate by adding, to the homogeneous solution, at least one MS2 (M is selected from the group consisting of Ge, Si, and Sn.) and Li2S and then mixing; a drying step for obtaining a precursor by removing the organic solution from the precipitate; and a heating treatment step for obtaining the LGPS-based solid electrolyte by heating the precursor at 200-700°C.']"
