Topic,Count,Name,Representation,Representative_Docs
-1,191,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'an', 'composite', 'electrode', 'layer', 'device', 'belt']","['The adhesive film for metal terminals; the manufacturing method of the adhesive film for metal terminals; a metal terminal with the adhesive film for metal terminals; an electrical storage device; and the manufacturing method of an electrical storage device This adhesive film for a metal terminal is interposed between a metal terminal, which is electrically connected to an electrode of a power storage device element, and a power storage device covering material, which seals the power storage device element. The adhesive film for a metal terminal is configured from a laminate including, in the given order, a first polyolefin layer that is disposed on the metal terminal side, a base material, and a second polyolefin layer that is disposed on the power storage device covering material side. At least one of the first polyolefin layer and the second polyolefin layer has a melting peak temperature of 105-130°C, and the surface hardness of the base material when measured in an environment having a temperature of 110°C is at least 15 N/mm 2.', 'The cladding for electrical storage devices; a method of manufacturing the same, and an electrical storage device PROBLEM TO BE SOLVED: To provide an exterior material for a power storage device in which the occurrence of cracking and peeling of a surface coating layer due to molding of the exterior material for the power storage device is suppressed.  SOLUTION: An exterior material for a power storage device is composed of a laminate having at least a surface coating layer, a base material layer, a barrier layer, and a heat-sealing resin layer from the outside, and the surface coating layer contains a resin and particles, and in an environment in which the temperature is 23°C, the hardness of the resin of the surface coating layer measured by the nanoindentation method with respect to the cross section in the thickness direction of the surface coating layer is 420.4 MPa or less.  SELECTED DRAWING: None', 'The cladding for electrical storage devices; a method of manufacturing the same, and an electrical storage device PROBLEM TO BE SOLVED: To provide an exterior material for a power storage device in which the occurrence of cracking and peeling of a surface coating layer due to molding of the exterior material for the power storage device is suppressed.  SOLUTION: An exterior material for a power storage device is composed of a laminate having at least a surface coating layer, a base material layer, a barrier layer, and a heat-sealing resin layer from the outside, and the surface coating layer contains a resin and particles, and in an environment in which the temperature is 23°C, the hardness of the resin of the surface coating layer measured by the nanoindentation method with respect to the cross section in the thickness direction of the surface coating layer is 420.4 MPa or less.  SELECTED DRAWING: None']"
0,1542,0_the_and_of_layer,"['the', 'and', 'of', 'layer', 'storage', 'material', 'electrode', 'is', 'an', 'in']","['The cladding|exterior_material for electrical storage devices, its manufacturing method, an electrical storage device, and a polyamide film PROBLEM TO BE SOLVED: To provide an exterior material for a power storage device in which damage to the exterior material for the power storage device is suppressed when the power storage device fixed to a housing with double-sided tape or the like is peeled off from the housing.  SOLUTION: An exterior material 10 for a power storage device is composed of a laminate including at least a base material layer 1, a barrier layer 3, and a thermosetting resin layer 4 in order from the outside. The base material layer includes a polyamide film, and the crystallization index of the polyamide film measured from the outside of the base material layer by an ATR method of Fourier transform infrared spectroscopy is 1.50 or more.  SELECTED DRAWING: Figure 1', 'The manufacturing method of an electrical storage device and an electrical storage device To provide a power storage device capable of suppressing unevenness in distribution of pressure applied to adjacent power storage devices when a plurality of power storage devices are stacked, and to provide a method of manufacturing the power storage device. The power storage device 10 is provided with an electrode body and an exterior body 100. The exterior body seals the electrode body. The exterior body is composed of an film-shaped exterior member. The exterior body includes a first sealing part 110 sealed by joining surfaces facing each other in a state of being wound around the electrode body. The root part of the first sealing part is formed at the boundary between the first surface 130 and the second surface 140 in the exterior body. The area of the first surface is larger than the area of the second surface. The first sealing part does not overlap with the first surface in a plan view. [Plot] Figure 1', 'An electrical storage device; and the manufacturing method of an electrical storage device PROBLEM TO BE SOLVED: To provide a power storage device capable of suppressing unevenness in distribution of pressure applied to an adjacent power storage device when a plurality of power storage devices are stacked, and a method for manufacturing the same.  SOLUTION: A power storage device includes an electrode body and an exterior body 100. The exterior body seals the electrode body. The exterior body is constituted by a film-shaped exterior member. The exterior body includes a first sealing unit 110 sealed by joining mutually facing surfaces in a state of being wound about the electrode body. A root portion of the first sealing unit is formed at a boundary between a first surface 130 and a second surface 140 in the exterior body. Area of the first surface is larger than that of the second surface.  SELECTED DRAWING: Figure 1']"
1,113,1_terminal_metal_adhesive_film,"['terminal', 'metal', 'adhesive', 'film', 'for', 'terminals', 'storage', 'device', 'polyolefin', 'of']","['The adhesive film for metal terminals; the manufacturing method of the adhesive film for metal terminals; a metal terminal with the adhesive film for metal terminals; an electrical storage device; and the manufacturing method of an electrical storage device This adhesive film for a metal terminal is interposed between a metal terminal, which is electrically connected to an electrode of a power storage device element, and a power storage device covering material, which seals the power storage device element. The adhesive film for a metal terminal is configured from a laminate including, in the given order, a first polyolefin layer that is disposed on the metal terminal side, a base material, and a second polyolefin layer that is disposed on the power storage device covering material side. At least one of the first polyolefin layer and the second polyolefin layer has a melting peak temperature of 105-130°C, and the surface hardness of the base material when measured in an environment having a temperature of 110°C is at least 15 N/mm 2.', 'The adhesive film for metal terminals; the manufacturing method of the adhesive film for metal terminals; a metal terminal with the adhesive film for metal terminals; an electrical storage device; and the manufacturing method of an electrical storage device This adhesive film for a metal terminal is interposed between a metal terminal, which is electrically connected to an electrode of a power storage device element, and a power storage device covering material, which seals the power storage device element. The adhesive film for a metal terminal is configured from a laminate including, in the given order, a first polyolefin layer that is disposed on the metal terminal side, a base material, and a second polyolefin layer that is disposed on the power storage device covering material side. At least one of the first polyolefin layer and the second polyolefin layer has a melting peak temperature of 105-130°C, and the surface hardness of the base material when measured in an environment having a temperature of 110°C is at least 15 N/mm 2.', 'The adhesive film for metal terminals; the manufacturing method of the adhesive film for metal terminals; a metal terminal with the adhesive film for metal terminals; an electrical storage device; and the manufacturing method of an electrical storage device This adhesive film for a metal terminal is interposed between a metal terminal, which is electrically connected to an electrode of a power storage device element, and a power storage device covering material, which seals the power storage device element. The adhesive film for a metal terminal is configured from a laminate including, in the given order, a first polyolefin layer that is disposed on the metal terminal side, a base material, and a second polyolefin layer that is disposed on the power storage device covering material side. At least one of the first polyolefin layer and the second polyolefin layer has a melting peak temperature of 105-130°C, and the surface hardness of the base material when measured in an environment having a temperature of 110°C is at least 15 N/mm 2.']"
2,64,2_nan___,"['nan', '', '', '', '', '', '', '', '', '']","['nan nan', 'nan nan', 'nan nan']"
3,29,3_aerosol_source_heating_precursor,"['aerosol', 'source', 'heating', 'precursor', 'delivery', 'activate', 'power', 'composition', 'element', 'configured']","['POWER SOURCE FOR AN AEROSOL DELIVERY DEVICE An aerosol delivery device is provided. The aerosol delivery device comprises at least one housing that defines a reservoir configured to retain aerosol precursor composition, and contains a heating element and power source within the at least one housing. The heating element is controllable to activate and vaporize components of the aerosol precursor composition. The power source is configured to power to heating element to activate and vaporize components of the aerosol precursor composition. The power source comprises a supercapacitor having a corrugated graphene-based structure.', 'POWER SOURCE FOR AN AEROSOL DELIVERY DEVICE An aerosol delivery device is provided. The aerosol delivery device comprises at least one housing that defines a reservoir configured to retain aerosol precursor composition, and contains a heating element and power source within the at least one housing. The heating element is controllable to activate and vaporize components of the aerosol precursor composition. The power source is configured to power to heating element to activate and vaporize components of the aerosol precursor composition. The power source comprises a supercapacitor having a corrugated graphene-based structure.', 'Power source for an aerosol delivery device An aerosol delivery device is provided. The aerosol delivery device comprises at least one housing that defines a reservoir configured to retain aerosol precursor composition, and contains a heating element and power source within the at least one housing. The heating element is controllable to activate and vaporize components of the aerosol precursor composition. The power source is configured to power to heating element to activate and vaporize components of the aerosol precursor composition. The power source comprises a supercapacitor having a corrugated graphene-based structure.']"
4,26,4_plating_ni_plated_upper,"['plating', 'ni', 'plated', 'upper', 'external', 'electronic', 'first', 'layer', 'component', 'electrode']","['ELECTRONIC COMPONENT The electronic component includes a body portion and an external electrode. The external electrode is provided on the surface of the main body. The external electrode includes a lower electrode layer, a first Ni (nickel) plating layer, and an upper plating layer. The first Ni plating layer is formed on the lower electrode layer. The upper plating layer is formed above the first Ni plating layer. The concentration of S (sulfur) in the first Ni plating layer is 5.2 × 10 18atoms/cm3 or more.', 'ELECTRONIC COMPONENT The electronic component includes a body portion and an external electrode. The external electrode is provided on the surface of the main body. The external electrode includes a lower electrode layer, a first Ni (nickel) plating layer, and an upper plating layer. The first Ni plating layer is formed on the lower electrode layer. The upper plating layer is formed above the first Ni plating layer. The concentration of S (sulfur) in the first Ni plating layer is 5.2 × 10 18atoms/cm3 or more.', 'ELECTRONIC COMPONENT The electronic component includes a body portion and an external electrode. The external electrode is provided on the surface of the main body. The external electrode includes a lower electrode layer, a first Ni (nickel) plating layer, and an upper plating layer. The first Ni plating layer is formed on the lower electrode layer. The upper plating layer is formed above the first Ni plating layer. The concentration of S (sulfur) in the first Ni plating layer is 5.2 × 10 18atoms/cm3 or more.']"
5,25,5_aluminum_opening_subcritical_clusters,"['aluminum', 'opening', 'subcritical', 'clusters', 'slurry', 'coating', 'anodic', 'viscosity', 'size', 'stable']","['The manufacturing method of the ejection method of a fluid or a coating method, a secondary battery, or an all-solid-state battery, the manufacturing method of a solar cell, a nozzle assembly PROBLEM TO BE SOLVED: To solve the problem that viscosity of slurry needs to be reduced in coating by making liquid particles of slurry for electrodes of secondary batteries and all-solid batteries or the like and that solid particles precipitate in a flow channel when viscosity is low, and especially at the time of work stop instantly, a narrow flow channel of an on-off valve downstream side is blocked.  SOLUTION: An opening for slurry of high viscosity is provided at a fluid-jetting head tip, an opening for a solvent is provided in the periphery of the slurry opening, and a compressed gas opening is provided in the periphery of the solvent opening, so that slurry with a high solid content is stretched while being swelled by the solvent and granulated. In atomization, another compressed gas is jetted toward the fluid from a close distance to cause collision and make fine particles.  SELECTED DRAWING: Figure 1', 'The manufacturing method of the ejection method of a fluid or a coating method, a secondary battery, or an all-solid-state battery, the manufacturing method of a solar cell, a nozzle assembly PROBLEM TO BE SOLVED: To solve the problem that viscosity of slurry needs to be reduced in coating by making liquid particles of slurry for electrodes of secondary batteries and all-solid batteries or the like and that solid particles precipitate in a flow channel when viscosity is low, and especially at the time of work stop instantly, a narrow flow channel of an on-off valve downstream side is blocked.  SOLUTION: An opening for slurry of high viscosity is provided at a fluid-jetting head tip, an opening for a solvent is provided in the periphery of the slurry opening, and a compressed gas opening is provided in the periphery of the solvent opening, so that slurry with a high solid content is stretched while being swelled by the solvent and granulated. In atomization, another compressed gas is jetted toward the fluid from a close distance to cause collision and make fine particles.  SELECTED DRAWING: Figure 1', 'The manufacturing method of the ejection method of a fluid or a coating method, a secondary battery, or an all-solid-state battery, the manufacturing method of a solar cell, a nozzle assembly PROBLEM TO BE SOLVED: To solve the problem that viscosity of slurry needs to be reduced in coating by making liquid particles of slurry for electrodes of secondary batteries and all-solid batteries or the like and that solid particles precipitate in a flow channel when viscosity is low, and especially at the time of work stop instantly, a narrow flow channel of an on-off valve downstream side is blocked.  SOLUTION: An opening for slurry of high viscosity is provided at a fluid-jetting head tip, an opening for a solvent is provided in the periphery of the slurry opening, and a compressed gas opening is provided in the periphery of the solvent opening, so that slurry with a high solid content is stretched while being swelled by the solvent and granulated. In atomization, another compressed gas is jetted toward the fluid from a close distance to cause collision and make fine particles.  SELECTED DRAWING: Figure 1']"
6,24,6_carbonaceous_materials_andor_organismderived,"['carbonaceous', 'materials', 'andor', 'organismderived', 'filamentous', 'carbonbased', 'catalyst', 'adsorbent', 'these', 'another']","['FILAMENTOUS ORGANISM-DERIVED CARBON-BASED MATERIALS, AND METHODS OF MAKING AND USING SAME The invention provides filamentous organism-derived carbonaceous materials doped with organic and/or inorganic compounds, and methods of making the same. In certain embodiments, these carbonaceous materials are used as electrodes in solid state batteries and/or lithium-ion batteries. In another aspect, these carbonaceous materials are used as a catalyst, catalyst support, adsorbent, filter and/or other carbon-based material or adsorbent. In yet another aspect, the invention provides battery devices incorporating the carbonaceous electrode materials.', 'Filamentous organism-derived carbon-based materials, and methods of making and using same The invention provides filamentous organism-derived carbonaceous materials doped with organic and/or inorganic compounds, and methods of making the same. In certain embodiments, these carbonaceous materials are used as electrodes in solid state batteries and/or lithium-ion batteries. In another aspect, these carbonaceous materials are used as a catalyst, catalyst support, adsorbent, filter and/or other carbon-based material or adsorbent. In yet another aspect, the invention provides battery devices incorporating the carbonaceous electrode materials.', 'Filamentous organism-derived carbon-based materials, and methods of making and using same The invention provides filamentous organism-derived carbonaceous materials doped with organic and/or inorganic compounds, and methods of making the same. In certain embodiments, these carbonaceous materials are used as electrodes in solid state batteries and/or lithium-ion batteries. In another aspect, these carbonaceous materials are used as a catalyst, catalyst support, adsorbent, filter and/or other carbon-based material or adsorbent. In yet another aspect, the invention provides battery devices incorporating the carbonaceous electrode materials.']"
7,21,7_supply_circuit_hybrid_accumulator,"['supply', 'circuit', 'hybrid', 'accumulator', 'power', 'energy', 'energystorage', 'store', 'first', 'producing']","['HYBRID POWER SUPPLY CIRCUIT, USE OF A HYBRID POWER SUPPLY CIRCUIT AND METHOD FOR PRODUCING A HYBRID POWER SUPPLY CIRCUIT An improved power supply circuit is specified. The hybrid power supply circuit comprises a first and a second energy store. The first energy store is a solid-state accumulator.', 'HYBRID POWER SUPPLY CIRCUIT, USE OF A HYBRID POWER SUPPLY CIRCUIT AND METHOD FOR PRODUCING A HYBRID POWER SUPPLY CIRCUIT An improved power supply circuit is specified. The hybrid power supply circuit comprises a first and a second energy store. The first energy store is a solid-state accumulator.', 'HYBRID POWER SUPPLY CIRCUIT, USE OF A HYBRID POWER SUPPLY CIRCUIT AND METHOD FOR PRODUCING A HYBRID POWER SUPPLY CIRCUIT An improved power supply circuit is specified. The hybrid power supply circuit comprises a first and a second energy store. The first energy store is a solid-state accumulator.']"
8,19,8_valve_container_fig_matimage,"['valve', 'container', 'fig', 'matimage', 'space', 'plane', 'the', 'gas', 'passage', 'accommodating']","['ACCUMULATION DEVICE VALVE STRUCTURE Provided is a valve structure in which attachment to a container is easy. The valve structure is for an accumulation device and comprises: a casing in which a passage is formed that discharges gas produced inside the container to the outside of the container; and a valve mechanism which is contained inside the casing and allows the gas to pass to the outside of the container via the passage when the internal pressure of the container rises due to the gas produced inside the container. The casing includes a first plane and a second plane which is parallel to the first plane.', 'The valve structure for electrical storage devices Provided is a valve structure in which attachment to a container is easy. The valve structure is for an accumulation device and comprises: a casing in which a passage is formed that discharges gas produced inside the container to the outside of the container; and a valve mechanism which is contained inside the casing and allows the gas to pass to the outside of the container via the passage when the internal pressure of the container rises due to the gas produced inside the container. The casing includes a first plane and a second plane which is parallel to the first plane.', 'The valve structure for electrical storage devices Provided is a valve structure in which attachment to a container is easy. The valve structure is for an accumulation device and comprises: a casing in which a passage is formed that discharges gas produced inside the container to the outside of the container; and a valve mechanism which is contained inside the casing and allows the gas to pass to the outside of the container via the passage when the internal pressure of the container rises due to the gas produced inside the container. The casing includes a first plane and a second plane which is parallel to the first plane.']"
