Topic,Count,Name,Representation,Representative_Docs
-1,299,-1_the_to_wherein_and,"['the', 'to', 'wherein', 'and', 'electrolyte', 'of', 'comprising', 'ion', 'method', 'an']","['polymer electrolyte, embedded compound, and an electrode for a battery providing a solid battery component. block copolymer electrolyte in the whole typical working temperature range of the battery (that is, at least in the range of 0-70 degrees centigrade) non cross-linked and non-glassy. chain of each copolymer comprises at least one ionic conductive segment and at least one second segment is not miscible with the ionic conductive segment. each chain form amorphous micellar, arranged into an ordered structure, the structure includes meta-shaped ionic conductive region continuous matrix and the second element forming region is not miscible with the ionic conductive region. to provide a compound of general formula LixMyNzO2. M and N are each metal atoms or main group elements, and x, y and z are numerical values of number, y and z 0-1 is the form of a charge on the MyNz portion of the compound is (Si4-xGex). In certain embodiments, these compounds are used in the anode of rechargeable battery. The invention further comprises predicting method of metal disulfide compound is available for lithium embedded compound. also provides a processing lithium embedded oxide it has needed to allow for production of structure and component uniformity can increase method. also relates to a product, which is composed of a first phase and a second phase formed of a dimensionally stable, micro-structure through each other, the first phase comprises a first component and a second phase comprising a second component which is not miscible with the first phase. forming interface between the first phase and the second phase, at least one particle on the interface. When the first and second phases are electron conductive and ionic conductive polymer, and the particles are ion host particles, which device is an electrode of a battery.', 'polymer electrolyte, embedded compound, and an electrode for a battery providing a solid battery component. block copolymer electrolyte in the whole typical working temperature range of the battery (that is, at least in the range of 0-70 degrees centigrade) non cross-linked and non-glassy. chain of each copolymer comprises at least one ionic conductive segment and at least one second segment is not miscible with the ionic conductive segment. each chain form amorphous micellar arrangement into an ordered structure, the structure comprises an amorphous ionic conductive area continuous substrate and the second amorphous region is not miscible with the ionic conductive region. to provide a compound of general formula LixMyNzO2. M and N are each metal atoms or main group elements, and x, y and Z are numerical number, y and z 0-1 is the form of a charge on the MyNz portion of the compound is (X). In certain embodiments, these compounds are used in the anode of the rechargeable battery. The invention further comprises predicting method of metal disulfide compound is available for lithium embedded compound. also provides a processing lithium embedded oxide it has needed to allow for production of structure and component uniformity can increase method. also relates to a product, which is composed of a first phase and a second phase formed of a dimensionally stable, micro-structure through each other, the first phase comprises a first component and a second phase comprising a second component which is not miscible with the first phase. forming interface between the first phase and the second phase, at least one particle on the interface. When the first and second phases are electron conductive and ionic conductive polymer, and the particles are ion host particles, which device is an electrode of a battery.', 'polymer electrolyte, embedded compound, and an electrode for a battery providing a solid battery component. block copolymer electrolyte in the whole typical working temperature range of the battery (that is, at least in the range of 0-70 degrees centigrade) non cross-linked and non-glassy. chain of each copolymer comprises at least one ionic conductive segment and at least one second segment is not miscible with the ionic conductive segment. each chain form amorphous micellar arrangement into an ordered structure, the structure comprises an amorphous ionic conductive area continuous substrate and the second amorphous region is not miscible with the ionic conductive region. to provide a compound of general formula LixMyNzO2. M and N are each metal atoms or main group elements, and x, y and Z are numerical number, y and z 0-1 is the form of a charge on the MyNz portion of the compound is (X). In certain embodiments, these compounds are used in the anode of the rechargeable battery. The invention further comprises predicting method of metal disulfide compound is available for lithium embedded compound. also provides a processing lithium embedded oxide it has needed to allow for production of structure and component uniformity can increase method. also relates to a product, which is composed of a first phase and a second phase formed of a dimensionally stable, micro-structure through each other, the first phase comprises a first component and a second phase comprising a second component which is not miscible with the first phase. forming interface between the first phase and the second phase, at least one particle on the interface. When the first and second phases are electron conductive and ionic conductive polymer, and the particles are ion host particles, which device is an electrode of a battery.']"
0,800,0_the_electrolyte_electrode_material,"['the', 'electrolyte', 'electrode', 'material', 'active', 'is', 'of', 'to', 'layer', 'positive']","['CATHODE ACTIVE MATERIAL FOR ALL SOLID STATE BATTERY COMPRISING COATING LAYER INCLUDING TERNARY OXIDE AND PREPARING METHOD THEREOF The present invention relates to a cathode active material for an all-solid-state battery having a coating layer including a ternary oxide and a method for manufacturing the same. Specifically, the positive active material may include active material particles; and a coating layer covering at least a portion of the surface of the active material particles, wherein the coating layer includes lithium (Li); niobium (Nb); and at least one element selected from the group consisting of vanadium (V), zirconium (Zr), and combinations thereof.', 'A solid battery and its manufacturing method PROBLEM TO BE SOLVED: To provide a solid-state battery with low calorific value and low resistance and a manufacturing method of the same.  SOLUTION: The solid-state battery includes a positive electrode having a positive electrode layer containing an oxide positive electrode active material, a negative electrode having a negative electrode layer containing a negative electrode active material, and a solid electrolyte layer arranged between the positive electrode layer and the negative electrode layer and containing a solid electrolyte. At least one of the positive electrode layer and the solid electrolyte layer contains a sulfide solid electrolyte. The sulfide solid electrolyte has, on a contact surface with the oxide positive electrode active material, an oxygen-enriched layer with a higher concentration of oxygen elements than on the rest of the contact surface.  SELECTED DRAWING: Figure 2', 'ALL SOLID STATE BATTERY An all solid state battery having high output performance and a manufacturing method thereof are provided. The all solid state battery of the present invention comprises a negative electrode layer, a positive electrode layer, and a solid electrolyte layer having a lithium ion conductivity. At least one layer of the solid electrolyte, the positive electrode layer, and the negative electrode layer includes a lithium ion conductive crystal and A xByOz (A is one or more selected from the group consisting of Al, Ti, Li, Ge, and Si. B is one or more selected from the group consisting of P, N, and C, wherein 1≦X≦4, 1≦Y≦5, and 1≦Z≦7). The solid electrolyte material to which a preferable sintering additive is added in a predetermined ratio is densified by firing at relatively low temperature in the manufacturing process. The ion conductivity thereof is also high.']"
1,575,1_herein_garnet_are_lithiumstuffed,"['herein', 'garnet', 'are', 'lithiumstuffed', 'novel', 'forth', 'set', 'methods', 'also', 'state']","['GARNET MATERIALS FOR LI SECONDARY BATTERIES AND METHODS OF MAKING AND USING GARNET MATERIALS Set forth herein are garnet material compositions, e.g., lithium-stuffed garnets and lithium-stuffed garnets doped with alumina, which are suitable for use as electrolytes and catholytes in solid state battery applications. Also set forth herein are lithium-stuffed garnet thin films having fine grains therein. Disclosed herein are novel and inventive methods of making and using lithium-stuffed garnets as catholytes, electrolytes and/or anolytes for all solid state lithium rechargeable batteries. Also disclosed herein are novel electrochemical devices which incorporate these garnet catholytes, electrolytes and/or anolytes. Also set forth herein are methods for preparing novel structures, including dense thin (<50 um) free standing membranes of an ionically conducting material for use as a catholyte, electrolyte, and, or, anolyte, in an electrochemical device, a battery component (positive or negative electrode materials), or a complete solid state electrochemical energy storage device. Also, the methods set forth herein disclose novel sintering techniques, e.g., for heating and/or field assisted (FAST) sintering, for solid state energy storage devices and the components thereof.', 'GARNET MATERIALS FOR LI SECONDARY BATTERIES AND METHODS OF MAKING AND USING GARNET MATERIALS Set forth herein are garnet material compositions, e.g., lithium-stuffed garnets and lithium-stuffed garnets doped with alumina, which are suitable for use as electrolytes and catholytes in solid state battery applications. Also set forth herein are lithium-stuffed garnet thin films having fine grains therein. Disclosed herein are novel and inventive methods of making and using lithium-stuffed garnets as catholytes, electrolytes and/or anolytes for all solid state lithium rechargeable batteries. Also disclosed herein are novel electrochemical devices which incorporate these garnet catholytes, electrolytes and/or anolytes. Also set forth herein are methods for preparing novel structures, including dense thin (<50 um) free standing membranes of an ionically conducting material for use as a catholyte, electrolyte, and, or, anolyte, in an electrochemical device, a battery component (positive or negative electrode materials), or a complete solid state electrochemical energy storage device. Also, the methods set forth herein disclose novel sintering techniques, e.g., for heating and/or field assisted (FAST) sintering, for solid state energy storage devices and the components thereof.', 'Garnet materials for Li secondary batteries and methods of making and using garnet materials Set forth herein are garnet material compositions, e.g., lithium-stuffed garnets and lithium-stuffed garnets doped with alumina, which are suitable for use as electrolytes and catholytes in solid state battery applications. Also set forth herein are lithium-stuffed garnet thin films having fine grains therein. Disclosed herein are novel and inventive methods of making and using lithium-stuffed garnets as catholytes, electrolytes and/or anolytes for all solid state lithium rechargeable batteries. Also disclosed herein are novel electrochemical devices which incorporate these garnet catholytes, electrolytes and/or anolytes. Also set forth herein are methods for preparing novel structures, including dense thin (<50 um) free standing membranes of an ionically conducting material for use as a catholyte, electrolyte, and, or, anolyte, in an electrochemical device, a battery component (positive or negative electrode materials), or a complete solid state electrochemical energy storage device. Also, the methods set forth herein disclose novel sintering techniques, e.g., for heating and/or field assisted (FAST) sintering, for solid state energy storage devices and the components thereof.']"
2,138,2_nan_battery_allsolidstate_active,"['nan', 'battery', 'allsolidstate', 'active', 'electrode', 'material', 'positive', 'electrolyte', 'same', 'solid']","['SOLID ELECTROLYTE MATERIAL, AND BATTERY nan', 'SOLID ELECTROLYTE MATERIAL, AND BATTERY nan', 'SOLID ELECTROLYTE MATERIAL AND BATTERY nan']"
3,83,3_consisting_group_selected_from,"['consisting', 'group', 'selected', 'from', 'element', 'least', 'that', 'one', 'metal', 'at']","['ION-CONDUCTIVE SOLID AND ALL-SOLID-STATE BATTERY An ion-conductive solid having high ion conductivity that can be produced by heat treatment at a low temperature. An ion-conductive solid containing an oxide represented by the general formula Li 6+a-c-2dYb1-a-b-c-dM1aM2bM3cM4dB3O9. (In the formula, M1 is at least one metal element selected from the group consisting of Mg, Mn, Zn, Ni, Ca, Sr, and Ba, M2 is at least one metal element selected from the group consisting of La, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Lu, In, and Fe, M3 is at least one metal element selected from the group consisting of Zr, Ce, Hf, Sn, and Ti, M4 is at least one metal element selected from the group consisting of Nb and Ta, and a, b, c, and d are real numbers each having a specific range and satisfying 0.000≤a+b+c+d<1.000.)', 'ION-CONDUCTIVE SOLID AND ALL-SOLID-STATE BATTERY An ion-conductive solid having high ion conductivity that can be produced by heat treatment at a low temperature. An ion-conductive solid containing an oxide represented by the general formula Li 6+a-c-2dYb1-a-b-c-dM1aM2bM3cM4dB3O9. (In the formula, M1 is at least one metal element selected from the group consisting of Mg, Mn, Zn, Ni, Ca, Sr, and Ba, M2 is at least one metal element selected from the group consisting of La, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Lu, In, and Fe, M3 is at least one metal element selected from the group consisting of Zr, Ce, Hf, Sn, and Ti, M4 is at least one metal element selected from the group consisting of Nb and Ta, and a, b, c, and d are real numbers each having a specific range and satisfying 0.000≤a+b+c+d<1.000.)', 'ION-CONDUCTIVE SOLID AND ALL-SOLID-STATE BATTERY An ion-conductive solid having high ion conductivity that can be produced by heat treatment at a low temperature. An ion-conductive solid containing an oxide represented by the general formula Li 6+a-c-2dYb1-a-b-c-dM1aM2bM3cM4dB3O9. (In the formula, M1 is at least one metal element selected from the group consisting of Mg, Mn, Zn, Ni, Ca, Sr, and Ba, M2 is at least one metal element selected from the group consisting of La, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Lu, In, and Fe, M3 is at least one metal element selected from the group consisting of Zr, Ce, Hf, Sn, and Ti, M4 is at least one metal element selected from the group consisting of Nb and Ta, and a, b, c, and d are real numbers each having a specific range and satisfying 0.000≤a+b+c+d<1.000.)']"
4,79,4_halide_halidebased_electrolyte_nanocomposite,"['halide', 'halidebased', 'electrolyte', 'nanocomposite', 'chloridebased', 'solid', 'the', 'invention', 'method', 'is']","['A halide solid electrolyte material and preparation method, application and all-solid-state battery thereof The invention claims a halide solid-state electrolyte material and preparation method, application and all-solid-state battery thereof, belonging to the field of lithium ion battery. The structure general formula of the halide solid electrolyte material is Li3MCl6, the M comprises indium or scandium, the XRD diffraction peak main peak crystal face of the halide solid electrolyte material is (001). In the halide solid electrolyte material provided by the invention, the room temperature ion conductivity of the halide substrate with preferred orientation ccp configuration is improved, the conductivity is higher than that of the halide processed by other modification methods, the matching performance with the anode material is better, and the circulation stability is better.', 'A halide solid electrolyte material and preparation method, application and all-solid-state battery thereof The invention claims a halide solid-state electrolyte material and preparation method, application and all-solid-state battery thereof, belonging to the field of lithium ion battery. The structure general formula of the halide solid electrolyte material is Li3MCl6, the M comprises indium or scandium, the XRD diffraction peak main peak crystal face of the halide solid electrolyte material is (001). In the halide solid electrolyte material provided by the invention, the room temperature ion conductivity of the halide substrate with preferred orientation ccp configuration is improved, the conductivity is higher than that of the halide processed by other modification methods, the matching performance with the anode material is better, and the circulation stability is better.', 'A halide solid electrolyte material and preparation method, application and all-solid-state battery thereof The invention claims a halide solid-state electrolyte material and preparation method, application and all-solid-state battery thereof, belonging to the field of lithium ion battery. The structure general formula of the halide solid electrolyte material is Li3MCl6, the M comprises indium or scandium, the XRD diffraction peak main peak crystal face of the halide solid electrolyte material is (001). In the halide solid electrolyte material provided by the invention, the room temperature ion conductivity of the halide substrate with preferred orientation ccp configuration is improved, the conductivity is higher than that of the halide processed by other modification methods, the matching performance with the anode material is better, and the circulation stability is better.']"
5,42,5_nan___,"['nan', '', '', '', '', '', '', '', '', '']","['nan nan', 'nan nan', 'nan nan']"
6,35,6_tool_coating_handling_such,"['tool', 'coating', 'handling', 'such', 'perovskitetype', 'metal', 'relates', 'compact', 'lithiumrepellent', 'for']","['COATING FOR A TOOL FOR HANDLING LITHIUM METAL, TOOL AND METHOD FOR PRODUCING SUCH A TOOL The invention relates to a coating (2) for tools (1, 4, 5) for handling lithium metal (3), containing a lithium-repelling material. The invention also relates to a tool (1, 4, 5) having such a coating (2) and to a method (6, 7) for producing such a tool (1, 4, 5).', 'COATING FOR A TOOL FOR HANDLING LITHIUM METAL, TOOL AND METHOD FOR PRODUCING SUCH A TOOL The invention relates to a coating (2) for tools (1, 4, 5) for handling lithium metal (3), containing a lithium-repelling material. The invention also relates to a tool (1, 4, 5) having such a coating (2) and to a method (6, 7) for producing such a tool (1, 4, 5).', 'COATING FOR A TOOL FOR HANDLING LITHIUM METAL, TOOL AND METHOD FOR PRODUCING SUCH A TOOL The invention relates to a coating (2) for tools (1, 4, 5) for handling lithium metal (3), containing a lithium-repelling material. The invention also relates to a tool (1, 4, 5) having such a coating (2) and to a method (6, 7) for producing such a tool (1, 4, 5).']"
7,35,7_aid_intensity_solgel_sintering,"['aid', 'intensity', 'solgel', 'sintering', 'composite', 'precursor', 'conductor', 'imn1', 'imn2', 'ratio']","['POSITIVE ELECTRODE ACTIVE MATERIAL AND BATTERY COMPRISING SAME The positive electrode active material according to the present invention comprises a lithium composite oxide that includes at least one selected from the group consisting of F, Cl, N, and S, and Mn. The lithium composite oxide has a crystal structure that belongs to a space group Fd-3m. Formula 1.40 ≤ intensity ratio I Mn1/IMn2 ≤ 1.90 is satisfied. The intensity ratio IMn1/IMn2 is the ratio of the intensity IMn1 to the intensity IMn2. The intensity IMn1 and the intensity IMn2 are respectively the intensities of first and second neighbor peaks of Mn in a radial distribution function of the Mn included in the lithium composite oxide.', 'POSITIVE ELECTRODE ACTIVE MATERIAL AND BATTERY COMPRISING SAME The positive electrode active material according to the present invention comprises a lithium composite oxide that includes at least one selected from the group consisting of F, Cl, N, and S, and Mn. The lithium composite oxide has a crystal structure that belongs to a space group Fd-3m. Formula 1.40 ≤ intensity ratio I Mn1/IMn2 ≤ 1.90 is satisfied. The intensity ratio IMn1/IMn2 is the ratio of the intensity IMn1 to the intensity IMn2. The intensity IMn1 and the intensity IMn2 are respectively the intensities of first and second neighbor peaks of Mn in a radial distribution function of the Mn included in the lithium composite oxide.', 'POSITIVE ELECTRODE ACTIVE MATERIAL AND BATTERY COMPRISING SAME The positive electrode active material according to the present invention comprises a lithium composite oxide that includes at least one selected from the group consisting of F, Cl, N, and S, and Mn. The lithium composite oxide has a crystal structure that belongs to a space group Fd-3m. Formula 1.40 ≤ intensity ratio I Mn1/IMn2 ≤ 1.90 is satisfied. The intensity ratio IMn1/IMn2 is the ratio of the intensity IMn1 to the intensity IMn2. The intensity IMn1 and the intensity IMn2 are respectively the intensities of first and second neighbor peaks of Mn in a radial distribution function of the Mn included in the lithium composite oxide.']"
8,30,8_ionicallyconductive_compounds_block_second,"['ionicallyconductive', 'compounds', 'block', 'second', 'about', 'immiscible', 'first', 'phase', 'domains', 'intercalation']","['POLYMER ELECTROLYTE, INTERCALATION COMPOUNDS AND ELECTRODES FOR BATTERIES Solid battery components are provided. A block copolymeric electrolyte is noncross-linked and non-glassy through the entire range of typical battery service temperatures, that is, through the entire range of at least from about 0 ~C to about 70 ~C. The chains of which the copolymer is made each include at least one ionically-conductive block and at least one second block immiscible with the ionically-conductive block. The chains form an amorphous association and are arranged in an ordered nanostructure including a continuous matrix of amorphous ionically-conductive domains and amorphous second domains that are immiscible with the ionically-conductive domains. A compound is provided that has a formula of LixMyNzO2. M and N are each metal atoms or a main group elements, and x, y, and z are each numbers from about 0 to about 1. y and z are chosen such that a formal charge on the My, Nz portion of the compound is (4-x). In certain embodiments, these compounds are used in the cathodes of rechargeable batteries. The present invention also includes methods of predicting the potential utility of metal dichalcogenide compounds for use in lithium intercalation compounds. It also provides methods for processing lithium intercalation oxides with the structure and compositional homogeneity necessary to realize the increased formation energies of said compounds. An article is made of a dimensionally-stable, interpenetrating microstructure of a first phase including a first component and a second phase, immiscible with the first phase, including a second component. The first and second phases define interphase boundaries between the, and at least one particle is positioned between a first phase and a second phase at an interphase boundary. When the first and second phases are electronically-conductive and ionicallyconductive polymers, respectively, and the particles are ion host particles, the arrangement is an electrode of a battery. ', 'POLYMER ELECTROLYTE, INTERCALATION COMPOUNDS AND ELECTRODES FOR BATTERIES Solid battery components are provided. A block copolymeric electrolyte is noncross-linked and non-glassy through the entire range of typical battery service temperatures, that is, through the entire range of at least from about 0 ~C to about 70 ~C. The chains of which the copolymer is made each include at least one ionically-conductive block and at least one second block immiscible with the ionically-conductive block. The chains form an amorphous association and are arranged in an ordered nanostructure including a continuous matrix of amorphous ionically-conductive domains and amorphous second domains that are immiscible with the ionically-conductive domains. A compound is provided that has a formula of LixMyNzO2. M and N are each metal atoms or a main group elements, and x, y, and z are each numbers from about 0 to about 1. y and z are chosen such that a formal charge on the My, Nz portion of the compound is (4-x). In certain embodiments, these compounds are used in the cathodes of rechargeable batteries. The present invention also includes methods of predicting the potential utility of metal dichalcogenide compounds for use in lithium intercalation compounds. It also provides methods for processing lithium intercalation oxides with the structure and compositional homogeneity necessary to realize the increased formation energies of said compounds. An article is made of a dimensionally-stable, interpenetrating microstructure of a first phase including a first component and a second phase, immiscible with the first phase, including a second component. The first and second phases define interphase boundaries between the, and at least one particle is positioned between a first phase and a second phase at an interphase boundary. When the first and second phases are electronically-conductive and ionicallyconductive polymers, respectively, and the particles are ion host particles, the arrangement is an electrode of a battery. ', 'POLYMER ELECTROLYTE, INTERCALATION COMPOUNDS AND ELECTRODES FOR BATTERIES Solid battery components are provided. A block copolymeric electrolyte is noncross-linked and non-glassy through the entire range of typical battery service temperatures, that is, through the entire range of at least from about 0 ~C to about 70 ~C. The chains of which the copolymer is made each include at least one ionically-conductive block and at least one second block immiscible with the ionically-conductive block. The chains form an amorphous association and are arranged in an ordered nanostructure including a continuous matrix of amorphous ionically-conductive domains and amorphous second domains that are immiscible with the ionically-conductive domains. A compound is provided that has a formula of LixMyNzO2. M and N are each metal atoms or a main group elements, and x, y, and z are each numbers from about 0 to about 1. y and z are chosen such that a formal charge on the My, Nz portion of the compound is (4-x). In certain embodiments, these compounds are used in the cathodes of rechargeable batteries. The present invention also includes methods of predicting the potential utility of metal dichalcogenide compounds for use in lithium intercalation compounds. It also provides methods for processing lithium intercalation oxides with the structure and compositional homogeneity necessary to realize the increased formation energies of said compounds. An article is made of a dimensionally-stable, interpenetrating microstructure of a first phase including a first component and a second phase, immiscible with the first phase, including a second component. The first and second phases define interphase boundaries between the, and at least one particle is positioned between a first phase and a second phase at an interphase boundary. When the first and second phases are electronically-conductive and ionicallyconductive polymers, respectively, and the particles are ion host particles, the arrangement is an electrode of a battery. ']"
