Topic,Keyword,Score
-1,object,0.10282620545915883
-1,stereo,0.08719809336692615
-1,structures,0.07815782550498135
-1,for,0.07043230128724376
-1,substrates,0.06938310226548836
-1,12,0.061304232109436266
-1,13,0.06005119437565709
-1,11,0.05923077029450765
-1,be,0.05871398302917644
-1,material,0.057325837950661304
0,the,0.0858409696184702
0,and,0.06822232754233651
0,battery,0.05624457132379935
0,fibre,0.05482148204190565
0,continuous,0.051312005724349366
0,printing,0.049762456880226895
0,of,0.04781469342879147
0,is,0.040872388927106505
0,carbon,0.040413122977266173
0,3d,0.03957757089224887
1,anode,0.08544861696733864
1,collector,0.07647553957083351
1,current,0.06962070699111435
1,cathode,0.06935548796876242
1,the,0.06398666789991951
1,electrolyte,0.05790754419057892
1,and,0.05358974679103626
1,solidstate,0.05106770983751473
1,an,0.04953997123859939
1,102,0.046769628767036345
2,the,0.07578580311598292
2,of,0.06342592120525337
2,electrode,0.055217835481489556
2,and,0.04596292401243508
2,to,0.04379625957094897
2,film,0.03981759427748192
2,battery,0.03961704569208038
2,body,0.03690317583264718
2,box,0.03433633321611987
2,positive,0.03291628767835237
3,particle,0.11017677446768122
3,material,0.09612307319625032
3,step,0.0948185027094723
3,second,0.09251708430393066
3,first,0.09097706807372732
3,p1,0.08886400313253318
3,layer,0.0857710871386482
3,11,0.08214207332682295
3,arranged,0.0736392587144012
3,substrate,0.06821403335603918
4,multifunctional,0.10414738257030254
4,framework,0.10355764733692648
4,printing,0.10281781267114236
4,the,0.08913703974806274
4,model,0.08084985877477231
4,design,0.07837598162601032
4,structure,0.07691080067297386
4,3d,0.07531929866472832
4,of,0.07172398326570681
4,solidstate,0.0641442945507092
5,polymer,0.08113285656734981
5,electrolyte,0.0766508498455513
5,membrane,0.0765560614716161
5,conductive,0.07237465623133166
5,preparation,0.0680634827357494
5,and,0.06533286902147029
5,system,0.06484415644388186
5,the,0.06340472653777052
5,of,0.04775667314495333
5,film,0.04600654630552111
6,first,0.08287165974102484
6,103,0.07770325716102433
6,second,0.0734391823084279
6,particles,0.05781559352413232
6,roller,0.05528933226651487
6,the,0.05391450027125543
6,material,0.052140511615080966
6,and,0.04898373341717204
6,gap,0.043348690348446496
6,for,0.04026719628496452
7,of,0.08319267118295548
7,the,0.07719397858993175
7,manufacturing,0.06839270847371179
7,primary,0.06686561115369119
7,sizing,0.06686561115369119
7,agent,0.05953960930112807
7,battery,0.05934289667509911
7,slurry,0.05640976836220692
7,one,0.05549743360507089
7,least,0.054589392871530515
8,unit,0.10073468294829893
8,spraying,0.08856551427878834
8,the,0.08303742058182557
8,lithium,0.06647273458160738
8,heating,0.06638568456778096
8,and,0.06206751114436413
8,component,0.061537133782452576
8,metal,0.06128029678010356
8,for,0.058697243226882564
8,device,0.05811706326816845
