Topic,Count,Name,Representation,Representative_Docs
-1,52,-1_material_and_the_element,"['material', 'and', 'the', 'element', 'electrolyte', 'to', 'solid', 'of', 'one', 'sodium']","['Sulfide solid electrolyte material, lithium solid-state battery, and method for producing sulfide solid electrolyte material A sulfide solid electrolyte material contains glass ceramics that contains Li, A, X, and S, and has peaks at 2θ=20.2° and 23.6° in X-ray diffraction measurement with CuKα line. A is at least one kind of P, Si, Ge, Al, and B, and X is a halogen. A method for producing a sulfide solid electrolyte material includes amorphizing a raw material composition containing Li 2S, a sulfide of A, and LiX to synthesize sulfide glass, and heating the sulfide glass at a heat treatment temperature equal to or more than a crystallization temperature thereof to synthesize glass ceramics having peaks at 2θ=20.2° and 23.6° in X-ray diffraction measurement with CuKα line, in which a ratio of the LiX contained in the raw material composition and the heat treatment temperature are controlled to obtain the glass ceramics.', 'Sulfide solid electrolyte material, lithium solid-state battery, and method for producing sulfide solid electrolyte material A sulfide solid electrolyte material contains glass ceramics that contains Li, A, X, and S, and has peaks at 2θ=20.2° and 23.6° in X-ray diffraction measurement with CuKα line. A is at least one kind of P, Si, Ge, Al, and B, and X is a halogen. A method for producing a sulfide solid electrolyte material includes amorphizing a raw material composition containing Li 2S, a sulfide of A, and LiX to synthesize sulfide glass, and heating the sulfide glass at a heat treatment temperature equal to or more than a crystallization temperature thereof to synthesize glass ceramics having peaks at 2θ=20.2° and 23.6° in X-ray diffraction measurement with CuKα line, in which a ratio of the LiX contained in the raw material composition and the heat treatment temperature are controlled to obtain the glass ceramics.', 'Sulfide solid electrolyte material, lithium solid-state battery, and method for producing sulfide solid electrolyte material A sulfide solid electrolyte material contains glass ceramics that contains Li, A, X, and S, and has peaks at 2θ=20.2° and 23.6° in X-ray diffraction measurement with CuKα line. A is at least one kind of P, Si, Ge, Al, and B, and X is a halogen. A method for producing a sulfide solid electrolyte material includes amorphizing a raw material composition containing Li 2S, a sulfide of A, and LiX to synthesize sulfide glass, and heating the sulfide glass at a heat treatment temperature equal to or more than a crystallization temperature thereof to synthesize glass ceramics having peaks at 2θ=20.2° and 23.6° in X-ray diffraction measurement with CuKα line, in which a ratio of the LiX contained in the raw material composition and the heat treatment temperature are controlled to obtain the glass ceramics.']"
0,69,0_sulfide_glass_the_solid,"['sulfide', 'glass', 'the', 'solid', 'of', 'electrolyte', 'method', '03deg', 'and', 'ion']","['Method for manufacturing lithium ion conductive sulfide glass and glass ceramic, and all solid-state battery using the glass ceramic The present invention is to provide a method for manufacturing lithium ion conductive sulfide glass. In the manufacture of lithium ion conductive sulfide glass, the starting material contains lithium sulfide and, consisting of phosphorus pentasulfide, monomer phosphorus and monomer sulfur Select one or more of the obtained raw materials, and add (I) glass modifier to 100 parts by mass of lithium sulfide to be 6.5 parts by mass or more of lithium sulfate and/or 2.2 parts by mass or more of lithium thiosulfate. The raw material is mechanically milled, or by adding (II) glass modifier to the lithium sulfide 100 parts by mass of 0.9 parts by mass or more of lithium hydroxide, the raw material is mechanically milled to be manufactured in Lithium ion conductive sulfide glass with high electrical conductivity at room temperature. In addition, when the lithium ion conductive sulfide glass is fired above the glass transition temperature, it is possible to produce a lithium ion conductive sulfide glass ceramic with high electrical conductivity at room temperature.', 'Method for manufacturing lithium ion conductive sulfide glass and glass ceramic, and all solid-state battery using the glass ceramic The present invention is to provide a method for manufacturing lithium ion conductive sulfide glass. In the manufacture of lithium ion conductive sulfide glass, the starting material contains lithium sulfide and, consisting of phosphorus pentasulfide, monomer phosphorus and monomer sulfur Select one or more of the obtained raw materials, and add 6.5 parts by mass or more of lithium sulfate and/or 2.2 parts by mass or more of lithium thiosulfate to 100 parts by mass of lithium sulfide of (I) glass modifier to the raw material, The raw material is mechanically milled, or by adding (II) glass modifier to the lithium sulfide 100 parts by mass of 0.9 parts by mass or more of lithium hydroxide, the raw material is mechanically milled to be manufactured in Lithium ion conductive sulfide glass with high electrical conductivity at room temperature. In addition, when the lithium ion conductive sulfide glass is fired above the glass transition temperature, it is possible to produce a lithium ion conductive sulfide glass ceramic that has high electrical conductivity at room temperature.', 'Method for manufacturing lithium ion conductive sulfide glass and glass ceramic, and all solid-state battery using the glass ceramic The present invention is to provide a method for manufacturing lithium ion conductive sulfide glass. In the manufacture of lithium ion conductive sulfide glass, the starting material contains lithium sulfide and, consisting of phosphorus pentasulfide, monomer phosphorus and monomer sulfur Select one or more of the obtained raw materials, and add 6.5 parts by mass or more of lithium sulfate and/or 2.2 parts by mass or more of lithium thiosulfate to 100 parts by mass of lithium sulfide of (I) glass modifier to the raw material, The raw material is mechanically milled, or by adding (II) glass modifier to the lithium sulfide 100 parts by mass of 0.9 parts by mass or more of lithium hydroxide, the raw material is mechanically milled to be manufactured in Lithium ion conductive sulfide glass with high electrical conductivity at room temperature. In addition, when the lithium ion conductive sulfide glass is fired above the glass transition temperature, it is possible to produce a lithium ion conductive sulfide glass ceramic that has high electrical conductivity at room temperature.']"
1,66,1_and_preferably_is_the,"['and', 'preferably', 'is', 'the', 'at', 'cation', 'an', 'phase', 'electrolyte', 'lithium']","['Glass ceramics for low temperature co-sintering of electrode and electrolyte and solid state battery using the same The present invention proposes a glass electrolyte capable of simultaneous firing at a low temperature after integrally stacking an electrode and an electrolyte as an electrolyte for a lithium secondary all-solid-state battery. Specifically, Li 1.2+xFe0.2+xTi1.8-x(PO4)3-y(BO3)y or Li2Sn0.5(BO3)1-x(PO4)xInstead of the intermediate oxide Ti, Fe is used, and the mesh oxide is PO4 instead of BO3 Substitute for or Li as an ion conductor1.5-xMxA0.5(A=Sn,Ti)(PO4)1..5BO3After adding intermediate or modified oxide and mesh oxide, sucrose is mixed with the composition and melted in a reducing atmosphere, so that the-4 ~×10-5 A novel glass electrolyte having excellent lithium ion conductivity as a glass electrolyte having high ionic conductivity of S/cm is provided. A composite electrolyte and a composite electrode are manufactured by mixing this glass electrolyte with an electrolyte and an electrode in the range of 13 to 33 wt%, and a cell in which the composite electrolyte and the composite electrode are laminated and integrated is simultaneously fired at a low temperature of 750 to 825° C. battery can be manufactured. According to the present invention, an all-solid-state battery can be laminated and integrated at a low temperature without interfacial reaction between the electrode and the electrolyte, a new sintering aid and glass electrolyte can be manufactured simply and inexpensively, and the performance of the all-solid-state battery can be improved. .', 'Glass ceramics for low temperature co-sintering of electrode and electrolyte and solid state battery using the same The present invention proposes a glass electrolyte capable of simultaneous firing at a low temperature after integrally stacking an electrode and an electrolyte as an electrolyte for a lithium secondary all-solid-state battery. Specifically, Li 1.2+xFe0.2+xTi1.8-x(PO4)3-y(BO3)y or Li2Sn0.5(BO3)1-x(PO4)xInstead of the intermediate oxide Ti, Fe is used, and the mesh oxide is PO4 instead of BO3 Substitute for or Li as an ion conductor1.5-xMxA0.5(A=Sn,Ti)(PO4)1..5BO3After adding intermediate or modified oxide and mesh oxide, sucrose is mixed with the composition and melted in a reducing atmosphere, so that the-4 ~×10-5 A novel glass electrolyte having excellent lithium ion conductivity as a glass electrolyte having high ionic conductivity of S/cm is provided. A composite electrolyte and a composite electrode are manufactured by mixing this glass electrolyte with an electrolyte and an electrode in the range of 13 to 33 wt%, and a cell in which the composite electrolyte and the composite electrode are laminated and integrated is simultaneously fired at a low temperature of 750 to 825° C. battery can be manufactured. According to the present invention, an all-solid-state battery can be laminated and integrated at a low temperature without interfacial reaction between the electrode and the electrolyte, a new sintering aid and glass electrolyte can be manufactured simply and inexpensively, and the performance of the all-solid-state battery can be improved. .', 'Glass ceramics for low temperature co-sintering of electrode and electrolyte and solid state battery using the same The present invention proposes a glass electrolyte capable of simultaneous firing at a low temperature after integrally stacking an electrode and an electrolyte as an electrolyte for a lithium secondary all-solid-state battery. Specifically, Li 1.2+xFe0.2+xTi1.8-x(PO4)3-y(BO3)y or Li2Sn0.5(BO3)1-x(PO4)xInstead of the intermediate oxide Ti, Fe is used, and the mesh oxide is PO4 instead of BO3 Substitute for or Li as an ion conductor1.5-xMxA0.5(A=Sn,Ti)(PO4)1..5BO3After adding intermediate or modified oxide and mesh oxide, sucrose is mixed with the composition and melted in a reducing atmosphere, so that the-4 ~×10-5 A novel glass electrolyte having excellent lithium ion conductivity as a glass electrolyte having high ionic conductivity of S/cm is provided. A composite electrolyte and a composite electrode are manufactured by mixing this glass electrolyte with an electrolyte and an electrode in the range of 13 to 33 wt%, and a cell in which the composite electrolyte and the composite electrode are laminated and integrated is simultaneously fired at a low temperature of 750 to 825° C. battery can be manufactured. According to the present invention, an all-solid-state battery can be laminated and integrated at a low temperature without interfacial reaction between the electrode and the electrolyte, a new sintering aid and glass electrolyte can be manufactured simply and inexpensively, and the performance of the all-solid-state battery can be improved. .']"
2,44,2_complex_oxide_phosphorous_precursor,"['complex', 'oxide', 'phosphorous', 'precursor', 'powder', 'phosphorus', 'lithium', 'method', 'manufacturing', 'of']","['PRECURSOR GLASS OF LITHIUM PHOSPHOROUS COMPLEX OXIDE AND METHOD OF PRODUCING SAME, METHOD OF PRODUCING PRECURSOR CRYSTALLIZED GLASS OF LITHIUM PHOSPHOROUS COMPLEX OXIDE, AND LITHIUM PHOSPHOROUS COMPLEX OXIDE POWDER AND METHOD OF PRODUCING SAME Provided is a high-quality lithium phosphorus complex oxide powder. The lithium phosphorus complex oxide powder comprises Li 1+xMIIIxMIV2-x(PO4)3 (0 ≤ x ≤ 1, MIII represents an element selected from Al, Sc, Cr, Fe, Ga, and In, and MIV represents an element selected from Si, Ti, Ge, and Zr) and has a concentration of Zn as an impurity of less than 100 ppm.', 'PRECURSOR GLASS OF LITHIUM PHOSPHOROUS COMPLEX OXIDE AND METHOD OF PRODUCING SAME, METHOD OF PRODUCING PRECURSOR CRYSTALLIZED GLASS OF LITHIUM PHOSPHOROUS COMPLEX OXIDE, AND LITHIUM PHOSPHOROUS COMPLEX OXIDE POWDER AND METHOD OF PRODUCING SAME Provided is a high-quality lithium phosphorus complex oxide powder. The lithium phosphorus complex oxide powder comprises Li 1+xMIIIxMIV2-x(PO4)3 (0 ≤ x ≤ 1, MIII represents an element selected from Al, Sc, Cr, Fe, Ga, and In, and MIV represents an element selected from Si, Ti, Ge, and Zr) and has a concentration of Zn as an impurity of less than 100 ppm.', 'PRECURSOR GLASS OF LITHIUM PHOSPHOROUS COMPLEX OXIDE AND METHOD OF PRODUCING SAME, METHOD OF PRODUCING PRECURSOR CRYSTALLIZED GLASS OF LITHIUM PHOSPHOROUS COMPLEX OXIDE, AND LITHIUM PHOSPHOROUS COMPLEX OXIDE POWDER AND METHOD OF PRODUCING SAME Provided is a high-quality lithium phosphorus complex oxide powder. The lithium phosphorus complex oxide powder comprises Li 1+xMIIIxMIV2-x(PO4)3 (0 ≤ x ≤ 1, MIII represents an element selected from Al, Sc, Cr, Fe, Ga, and In, and MIV represents an element selected from Si, Ti, Ge, and Zr) and has a concentration of Zn as an impurity of less than 100 ppm.']"
3,33,3_source_the_compound_metal,"['source', 'the', 'compound', 'metal', 'and', 'substantially', 'of', 'solubility', 'ppm', 'for']","['METHOD The present invention provides a vapour deposition method for preparing an amorphous lithium borosilicate or doped lithium borosilicate compound, the method comprising: providing a vapour source of each component element of the compound, wherein the vapour sources comprise at least a source of lithium, a source of oxygen, a source of boron, and a source of silicon, and, optionally, a source of at least one dopant element; delivering a flow of said lithium, said oxygen, said boron and said silicon, and, optionally, said dopant element; and co-depositing the component elements from the vapour sources onto a substrate wherein the component elements react on the substrate to form the amorphous compound; wherein the amorphous lithium borosilicate or doped lithium borosilicate compound has a lithium content in the range 40-65 atomic%, based on the combined atomic percentages of lithium, boron and silicon.', 'METHOD The present invention provides a vapour deposition method for preparing an amorphous lithium borosilicate or doped lithium borosilicate compound, the method comprising: providing a vapour source of each component element of the compound, wherein the vapour sources comprise at least a source of lithium, a source of oxygen, a source of boron, and a source of silicon, and, optionally, a source of at least one dopant element; delivering a flow of said lithium, said oxygen, said boron and said silicon, and, optionally, said dopant element; and co-depositing the component elements from the vapour sources onto a substrate wherein the component elements react on the substrate to form the amorphous compound; wherein the amorphous lithium borosilicate or doped lithium borosilicate compound has a lithium content in the range 40-65 atomic%, based on the combined atomic percentages of lithium, boron and silicon.', 'METHOD The present invention provides a vapour deposition method for preparing an amorphous lithium borosilicate or doped lithium borosilicate compound, the method comprising: providing a vapour source of each component element of the compound, wherein the vapour sources comprise at least a source of lithium, a source of oxygen, a source of boron, and a source of silicon, and, optionally, a source of at least one dopant element; delivering a flow of said lithium, said oxygen, said boron and said silicon, and, optionally, said dopant element; and co-depositing the component elements from the vapour sources onto a substrate wherein the component elements react on the substrate to form the amorphous compound; wherein the amorphous lithium borosilicate or doped lithium borosilicate compound has a lithium content in the range 40-65 atomic%, based on the combined atomic percentages of lithium, boron and silicon.']"
4,25,4_sheet_green_laminate_positive,"['sheet', 'green', 'laminate', 'positive', 'electrode', 'secondary', 'battery', 'provided', 'sintering', 'property']","['The manufacturing method of a lithium ion secondary battery A method of manufacturing a lithium ion secondary battery comprising the steps of: forming a laminate by laminating an electrolyte green sheet and a positive electrode green sheet; and sintering the laminate is provided. At least one of the electrolyte green sheet and the positive electrode green sheet contains an amorphous oxide glass powder in which a crystalline having a lithium ion conducting property is precipitated in the step of sintering. A solid state battery produced in accordance with the method is provided.', 'The manufacturing method of a lithium ion secondary battery A method of manufacturing a lithium ion secondary battery comprising the steps of: forming a laminate by laminating an electrolyte green sheet and a positive electrode green sheet; and sintering the laminate is provided. At least one of the electrolyte green sheet and the positive electrode green sheet contains an amorphous oxide glass powder in which a crystalline having a lithium ion conducting property is precipitated in the step of sintering. A solid state battery produced in accordance with the method is provided.', 'The manufacturing method of a lithium ion secondary battery A method of manufacturing a lithium ion secondary battery comprising the steps of: forming a laminate by laminating an electrolyte green sheet and a positive electrode green sheet; and sintering the laminate is provided. At least one of the electrolyte green sheet and the positive electrode green sheet contains an amorphous oxide glass powder in which a crystalline having a lithium ion conducting property is precipitated in the step of sintering. A solid state battery produced in accordance with the method is provided.']"
5,25,5_conductor_ion_lithium_electrochemical,"['conductor', 'ion', 'lithium', 'electrochemical', 'first', 'second', 'cell', 'conductivity', 'solid', 'device']","['Lithium ion conductor, solid electrolyte layer, electrode, battery, and electronic device A lithium ion conductor includes a first lithium ion conductor that contains at least one selected from among oxide crystals and glass ceramics, and a second lithium ion conductor that has a sintering temperature of not more than 600° C. The lithium ion conductivity of the first lithium ion conductor is higher than the lithium ion conductivity of the second lithium ion conductor.', 'LITHIUM ION CONDUCTOR, SOLID ELECTROLYTE LAYER, ELECTRODE, BATTERY, AND ELECTRONIC DEVICE A lithium ion conductor includes a first lithium ion conductor that contains at least one selected from among oxide crystals and glass ceramics, and a second lithium ion conductor that has a sintering temperature of not more than 600° C. The lithium ion conductivity of the first lithium ion conductor is higher than the lithium ion conductivity of the second lithium ion conductor.', 'Lithium ion conductor, solid electrolyte layer, electrode, battery, and electronic device A lithium ion conductor includes a first lithium ion conductor that contains at least one selected from among oxide crystals and glass ceramics, and a second lithium ion conductor that has a sintering temperature of not more than 600° C. The lithium ion conductivity of the first lithium ion conductor is higher than the lithium ion conductivity of the second lithium ion conductor.']"
6,24,6_phase_is_residual_as,"['phase', 'is', 'residual', 'as', 'cation', 'ionconducting', 'wherein', 'selected', 'greater', 'present']","['Glass ceramic with ion-conducting residual glass phase and process for the production thereof The present disclosure relates to a lithium ion-conducting glass ceramic which comprises a residual glass phase that is also ion-conducting, a process for the production thereof as well as its use in a battery. The glass ceramic according to the present disclosure comprises a main crystal phase which is isostructural to the NaSICon crystal phase, wherein the composition can be described with the following formula: Li 1+x−yMy5+Mx3+M2−x−y4+(PO4)3, wherein x is greater than 0 and at most 1, as well as greater than y. Y may take values of between 0 and 1. Here, the following boundary condition has to be fulfilled: (1+x−y)>1. Here, M represents a cation with the valence of +3, +4 or +5. M3+ is selected from Al, Y, Sc or B, wherein at least Al as trivalent cation is present. Independently thereof, M4+ is selected from Ti, Si or Zr, wherein at least Ti as tetravalent cation is present. Independently thereof, M5+ is selected from Nb, Ta or La.', 'GLASS CERAMIC WITH ION-CONDUCTING RESIDUAL GLASS PHASE AND PROCESS FOR THE PRODUCTION THEREOF The present disclosure relates to a lithium ion-conducting glass ceramic which comprises a residual glass phase that is also ion-conducting, a process for the production thereof as well as its use in a battery. The glass ceramic according to the present disclosure comprises a main crystal phase which is isostructural to the NaSICon crystal phase, wherein the composition can be described with the following formula: Li 1+x−yMy5+Mx3+M2−x−y4+(PO4)3, wherein x is greater than 0 and at most 1, as well as greater than y. Y may take values of between 0 and 1. Here, the following boundary condition has to be fulfilled: (1+x−y)>1. Here, M represents a cation with the valence of +3, +4 or +5. M3+ is selected from Al, Y, Sc or B, wherein at least Al as trivalent cation is present. Independently thereof, M4+ is selected from Ti, Si or Zr, wherein at least Ti as tetravalent cation is present. Independently thereof, M5+ is selected from Nb, Ta or La.', 'Glass ceramic with ion-conducting residual glass phase and process for the production thereof The present disclosure relates to a lithium ion-conducting glass ceramic which comprises a residual glass phase that is also ion-conducting, a process for the production thereof as well as its use in a battery. The glass ceramic according to the present disclosure comprises a main crystal phase which is isostructural to the NaSICon crystal phase, wherein the composition can be described with the following formula: Li 1+x−yMy5+Mx3+M2−x−y4+(PO4)3, wherein x is greater than 0 and at most 1, as well as greater than y. Y may take values of between 0 and 1. Here, the following boundary condition has to be fulfilled: (1+x−y)>1. Here, M represents a cation with the valence of +3, +4 or +5. M3+ is selected from Al, Y, Sc or B, wherein at least Al as trivalent cation is present. Independently thereof, M4+ is selected from Ti, Si or Zr, wherein at least Ti as tetravalent cation is present. Independently thereof, M5+ is selected from Nb, Ta or La.']"
7,24,7_glasses_alkali_selenogermanate_or,"['glasses', 'alkali', 'selenogermanate', 'or', 'medium', 'chalcogenide', 'mobility', 'are', 'such', 'na']","['ALKALI SELENOGERMANATE GLASSES Selenogermanate, selenogallo- or selenoindo-germanate glasses that are modified by alkali metals, for example, Na or Li and, as such, are characterized by high alkali ion mobility or conductivity. Ionic conducting chalcogenide glasses have potential application as an electrolyte medium for solid state batteries. ', 'ALKALI SELENOGERMANATE GLASSES Selenogermanate, selenogallo- or selenoindo-germanate glasses that are modified by alkali metals, for example, Na or Li and, as such, are characterized by high alkali ion mobility or conductivity. Ionic conducting chalcogenide glasses have potential application as an electrolyte medium for solid state batteries.', 'Alkali selenogermanate glasses Selenogermanate, selenogallo- or selenoindo-germanate glasses that are modified by alkali metals, for example, Na or Li and, as such, are characterized by high alkali ion mobility or conductivity. Ionic conducting chalcogenide glasses have potential application as an electrolyte medium for solid state batteries.']"
8,23,8_nan_sulfide_solid_manufacturing,"['nan', 'sulfide', 'solid', 'manufacturing', 'electrolyte', 'method', 'crystalline', 'material', 'battery', 'allsolidstate']","['The manufacturing method of a sulfide solid electrolyte and a sulfide solid electrolyte nan', 'The manufacturing method of a sulfide solid electrolyte and a sulfide solid electrolyte nan', 'The manufacturing method of a sulfide solid electrolyte and a sulfide solid electrolyte nan']"
